"date","nation","county","state","statename","race","cases","deaths","racePopulation","caserate","deathrate","populationTot","percentPop","Show"
2020-07-12,"","",41,"Oregon","American Natives",262,3,36776,712.42,8.16,4081943,0.9,"No"
2020-07-12,"","",41,"Oregon","Other Race",3580,18,6410,55850.23,280.81,4081943,0.16,"No"
2020-07-12,"","",41,"Oregon","Hispanic",4208,28,523956,803.12,5.34,4081943,12.84,"Yes"
2020-07-12,"","",42,"Pennsylvania","All Races Combined",92148,6880,12791181,720.4,53.79,12791181,100,"Yes"
2020-07-12,"","",42,"Pennsylvania","African American",11900,1469,1360576,874.63,107.97,12791181,10.64,"Yes"
2020-07-12,"","",42,"Pennsylvania","White",28200,4925,9826865,286.97,50.12,12791181,76.83,"Yes"
2020-07-12,"","",42,"Pennsylvania","American Natives",,,14419,,,12791181,0.11,"No"
2020-07-12,"","",42,"Pennsylvania","Other Race",743,335,20860,3561.84,1605.94,12791181,0.16,"No"
2020-07-12,"","",42,"Pennsylvania","Hispanic",7400,412,905156,817.54,45.52,12791181,7.08,"Yes"
2020-07-12,"","",44,"Rhode Island","All Races Combined",17312,976,1056611,1638.45,92.37,1056611,100,"Yes"
2020-07-12,"","",44,"Rhode Island","African American",1592,48,59001,2698.26,81.35,1056611,5.58,"Yes"
2020-07-12,"","",44,"Rhode Island","White",4616,641,767727,601.26,83.49,1056611,72.66,"Yes"
2020-07-12,"","",44,"Rhode Island","American Natives",,,3708,,,1056611,0.35,"No"
2020-07-12,"","",44,"Rhode Island","Other Race",465,12,7090,6558.53,169.25,1056611,0.67,"No"
2020-07-12,"","",44,"Rhode Island","Hispanic",5899,81,158858,3713.38,50.99,1056611,15.03,"Yes"
2020-07-12,"","",45,"South Carolina","All Races Combined",56648,961,4955925,1143.04,19.39,4955925,100,"Yes"
2020-07-12,"","",45,"South Carolina","African American",12905,386,1328352,971.5,29.06,4955925,26.8,"Yes"
2020-07-12,"","",45,"South Carolina","White",18552,422,3156973,587.65,13.37,4955925,63.7,"Yes"
2020-07-12,"","",45,"South Carolina","American Natives",,,14187,,,4955925,0.29,"No"
2020-07-12,"","",45,"South Carolina","Other Race",3629,26,8584,42276.33,302.89,4955925,0.17,"No"
2020-07-12,"","",45,"South Carolina","Hispanic",5305,34,275685,1924.3,12.33,4955925,5.56,"Yes"
2020-07-12,"","",46,"South Dakota","All Races Combined",7499,109,864289,867.65,12.61,864289,100,"Yes"
2020-07-12,"","",46,"South Dakota","African American",985,,15840,6218.43,,864289,1.83,"Yes"
2020-07-12,"","",46,"South Dakota","White",2716,,710810,382.1,,864289,82.24,"Yes"
2020-07-12,"","",46,"South Dakota","American Natives",1206,,72263,1668.9,,864289,8.36,"Yes"
2020-07-12,"","",46,"South Dakota","Other Race",751,,647,116074.19,,864289,0.07,"No"
2020-07-12,"","",46,"South Dakota","Hispanic",1126,,31995,3519.3,,864289,3.7,"Yes"
2020-07-12,"","",47,"Tennessee","All Races Combined",61960,741,6651089,931.58,11.14,6651089,100,"Yes"
2020-07-12,"","",47,"Tennessee","African American",12551,263,1107218,1133.56,23.75,6651089,16.65,"Yes"
2020-07-12,"","",47,"Tennessee","White",25886,413,4924145,525.7,8.39,6651089,74.04,"Yes"
2020-07-12,"","",47,"Tennessee","American Natives",78,0,15172,514.1,0,6651089,0.23,"No"
2020-07-12,"","",47,"Tennessee","Other Race",9635,49,9686,99473.47,505.88,6651089,0.15,"No"
2020-07-12,"","",47,"Tennessee","Hispanic",13846,72,352402,3929.04,20.43,6651089,5.3,"Yes"
2020-07-12,"","",48,"Texas","All Races Combined",258658,3192,27885195,927.58,11.45,27885195,100,"Yes"
2020-07-12,"","",48,"Texas","African American",2914,91,3269253,89.13,2.78,27885195,11.72,"Yes"
2020-07-12,"","",48,"Texas","White",6335,310,11807263,53.65,2.63,27885195,42.34,"Yes"
2020-07-12,"","",48,"Texas","American Natives",,,68452,,,27885195,0.25,"No"
2020-07-12,"","",48,"Texas","Other Race",133,1,42354,314.02,2.36,27885195,0.15,"No"
2020-07-12,"","",48,"Texas","Hispanic",10090,210,10921556,92.39,1.92,27885195,39.17,"Yes"
2020-07-12,"","",49,"Utah","All Races Combined",29484,215,3045350,968.16,7.06,3045350,100,"Yes"
2020-07-12,"","",49,"Utah","African American",747,5,33713,2215.76,14.83,3045350,1.11,"Yes"
2020-07-12,"","",49,"Utah","White",10959,112,2394238,457.72,4.68,3045350,78.62,"Yes"
2020-07-12,"","",49,"Utah","American Natives",686,15,28047,2445.89,53.48,3045350,0.92,"No"
