"Date","statename","FIPS","Census2019","Doses_Distributed","Doses_Administered","Dist_Per_100K","Admin_Per_100K","Administered_Dose1","Administered_Dose1_Per_100K","Administered_Dose2","Administered_Dose2_Per_100K","Administered_Moderna","Administered_Pfizer","Administered_Unk_Manuf","Population","percentVaccinatedDose1","Dist_Per_100K_new","percentVaccinatedDose2","Dist_new"
"2021-01-21","Utah","49",3205958,337825,189578,10537,5913,166334,5188,17275,539,-1,-1,-1,3161105,5.26,565,0.55,18125
"2021-01-23","Utah","49",3205958,341725,202729,10659,6324,175364,5470,20697,646,-1,-1,-1,3161105,5.55,122,0.65,3900
"2021-01-24","Utah","49",3205958,341725,202729,10659,6324,175364,5470,20697,646,-1,-1,-1,3161105,5.55,0,0.65,0
"2021-01-15","Vermont","50",623989,74000,32470,11859,5204,28355,4544,4100,657,-1,-1,-1,626299,4.53,11859,0.65,74000
"2021-01-19","Vermont","50",623989,74000,40581,11859,6503,34427,5517,6114,980,-1,-1,-1,626299,5.5,0,0.98,0
"2021-01-20","Vermont","50",623989,75950,40814,12172,6541,34607,5546,6167,988,-1,-1,-1,626299,5.53,313,0.98,1950
"2021-01-21","Vermont","50",623989,78875,42835,12640,6865,36233,5807,6545,1049,-1,-1,-1,626299,5.79,468,1.05,2925
"2021-01-23","Vermont","50",623989,90000,49426,14423,7921,40484,6488,8877,1423,-1,-1,-1,626299,6.46,1783,1.42,11125
"2021-01-24","Vermont","50",623989,90000,51872,14423,8313,41950,6723,9853,1579,-1,-1,-1,626299,6.7,0,1.57,0
"2021-01-15","Virginia","51",8535519,852725,244234,9990,2861,214732,2516,28164,330,-1,-1,-1,8517685,2.52,9990,0.33,852725
"2021-01-19","Virginia","51",8535519,852725,326894,9990,3830,290146,3399,35239,413,-1,-1,-1,8517685,3.41,0,0.41,0
"2021-01-20","Virginia","51",8535519,962900,343366,11281,4023,304160,3563,37679,441,-1,-1,-1,8517685,3.57,1291,0.44,110175
"2021-01-21","Virginia","51",8535519,992375,362092,11626,4242,320175,3751,40340,473,-1,-1,-1,8517685,3.76,345,0.47,29475
"2021-01-23","Virginia","51",8535519,1069725,429297,12533,5030,376378,4410,49007,574,-1,-1,-1,8517685,4.42,907,0.58,77350
"2021-01-24","Virginia","51",8535519,1069725,451668,12533,5292,393127,4606,51170,599,-1,-1,-1,8517685,4.62,0,0.6,0
"2021-01-15","Washington","53",7614893,696175,242606,9142,3186,200682,2635,31581,415,-1,-1,-1,7535591,2.66,9142,0.42,696175
"2021-01-19","Washington","53",7614893,696175,321200,9142,4218,265507,3487,45237,594,-1,-1,-1,7535591,3.52,0,0.6,0
"2021-01-20","Washington","53",7614893,805000,346765,10571,4554,286500,3762,49731,653,-1,-1,-1,7535591,3.8,1429,0.66,108825
"2021-01-21","Washington","53",7614893,820875,373423,10780,4904,306942,4031,55902,734,-1,-1,-1,7535591,4.07,209,0.74,15875
"2021-01-23","Washington","53",7614893,846625,436997,11118,5739,359217,4717,67127,882,-1,-1,-1,7535591,4.77,338,0.89,25750
"2021-01-24","Washington","53",7614893,846625,449385,11118,5901,370231,4862,68486,899,-1,-1,-1,7535591,4.91,0,0.91,0
"2021-01-15","West Virginia","54",1792147,205475,134207,11465,7489,113034,6307,21162,1181,-1,-1,-1,1805832,6.26,11465,1.17,205475
"2021-01-19","West Virginia","54",1792147,205475,152657,11465,8518,128923,7194,23723,1324,-1,-1,-1,1805832,7.14,0,1.31,0
"2021-01-20","West Virginia","54",1792147,231800,158621,12934,8851,132929,7417,25681,1433,-1,-1,-1,1805832,7.36,1469,1.42,26325
"2021-01-21","West Virginia","54",1792147,231800,167548,12934,9349,135950,7586,31587,1763,-1,-1,-1,1805832,7.53,0,1.75,0
"2021-01-23","West Virginia","54",1792147,243100,194844,13565,10872,156854,8752,37979,2119,-1,-1,-1,1805832,8.69,631,2.1,11300
"2021-01-24","West Virginia","54",1792147,243100,202883,13565,11321,163801,9140,39071,2180,-1,-1,-1,1805832,9.07,0,2.16,0
"2021-01-15","Wisconsin","55",5822434,437900,169803,7521,2916,151387,2600,17108,294,-1,-1,-1,5813568,2.6,7521,0.29,437900
"2021-01-19","Wisconsin","55",5822434,437900,213498,7521,3667,188144,3231,23641,406,-1,-1,-1,5813568,3.24,0,0.41,0
"2021-01-20","Wisconsin","55",5822434,538325,222492,9246,3821,193461,3323,27312,469,-1,-1,-1,5813568,3.33,1725,0.47,100425
"2021-01-21","Wisconsin","55",5822434,577325,238758,9916,4101,204746,3517,32268,554,-1,-1,-1,5813568,3.52,670,0.56,39000
"2021-01-23","Wisconsin","55",5822434,610100,285630,10478,4906,241512,4148,42229,725,-1,-1,-1,5813568,4.15,562,0.73,32775
"2021-01-24","Wisconsin","55",5822434,610100,308290,10478,5295,260664,4477,45641,784,-1,-1,-1,5813568,4.48,0,0.79,0
"2021-01-15","Wyoming","56",578759,58775,22745,10155,3930,19931,3444,2803,484,-1,-1,-1,577737,3.45,10155,0.49,58775
"2021-01-19","Wyoming","56",578759,58775,28057,10155,4848,24788,4283,3242,560,-1,-1,-1,577737,4.29,0,0.56,0
"2021-01-20","Wyoming","56",578759,62575,29309,10812,5064,25841,4465,3441,595,-1,-1,-1,577737,4.47,657,0.6,3800
"2021-01-21","Wyoming","56",578759,67450,29309,11654,5064,25841,4465,3441,595,-1,-1,-1,577737,4.47,842,0.6,4875
"2021-01-23","Wyoming","56",578759,70750,37559,12224,6490,32746,5658,4773,825,-1,-1,-1,577737,5.67,570,0.83,3300
"2021-01-24","Wyoming","56",578759,70750,40803,12224,7050,35868,6197,4895,846,-1,-1,-1,577737,6.21,0,0.85,0
